id,infinitive,past_simple_v2,past_participle_v3,Unnamed: 4
1,arise,arose,arisen,подниматься
2,awake,awoke,awoken,пробуждать
3,be,was (were),been,быть
4,bear,bore,born,"рождать,  переносить"
5,beat,beat,beaten,бить
6,become,became,become,становиться
7,begin,began,begun,начинать
8,bend,bent,bent,наклонять
9,bet,bet,bet,заключать пари
10,bind,bound,bound,связывать
11,bite,bit,bitten,кусать
12,bleed,bled,bled,кровоточить
13,blow,blew,blown,дуть
14,break,broke,broken,ломать
15,breed,bred,bred,разводить животных
16,bring,brought,brought,приносить
17,build,built,built,строить
18,buy,bought,bought,покупать
19,catch,caught,caught,ловить
20,choose,chose,chosen,выбирать
21,cling,clung,clung,цепляться
22,come,came,come,приходить
23,cost,cost,cost,стоить
24,cut,cut,cut,резать
25,deal,dealt,dealt,вести дела
26,dig,dug,dug,копать
27,do,did,done,делать
28,draw,drew,drawn,"рисовать,  тянуть"
29,drink,drank,drunk,пить
30,drive,drove,driven,водить автомобиль
31,eat,ate,eaten,кушать
32,fall,fell,fallen,падать
33,feed,fed,fed,кормить
34,feel,felt,felt,чувствовать
35,fight,fought,fought,бороться
36,find,found,found,находить
37,flee,fled,fled,сбегать
38,fly,flew,flown,летать
39,forbid,forbade,forbidden,запрещать
40,forget,forgot,forgotten,забывать
41,forgive,forgave,forgiven,прощать
42,freeze,froze,frozen,замораживать
43,get,got,got (gotten),получать
44,give,gave,given,давать
45,go,went,gone,идти
46,grow,grew,grown,расти
47,hang,hung,hung,висеть
48,have,had,had,иметь
49,hear,heard,heard,слышать
50,hide,hid,hidden,прятать
51,hit,hit,hit,"ударять,  попадать"
52,hold,held,held,держать
53,hurt,hurt,hurt,причинять боль
54,keep,kept,kept,"сохранять,  соблюдать"
55,know,knew,known,знать
56,lay,laid,laid,класть
57,lead,led,led,"вести,  лидировать"
58,learn,learnt (learned),learnt (learned),"учиться,  узнавать"
59,leave,left,left,"покидать,  оставлять"
60,lend,lent,lent,давать взаймы
61,let,let,let,позволять
62,lie,lay,lain,лежать
63,light,lit,lit,"зажигать,  освещать"
64,lose,lost,lost,терять
65,make,made,made,"делать, мастерить"
66,mean,meant,meant,значить
67,meet,met,met,"встречать,  знакомиться"
68,pay,paid,paid,платить
69,put,put,put,"класть,  ставить"
70,read,read,read,читать
71,ride,rode,ridden,ездить верхом
72,ring,rang,rung,звонить
73,rise,rose,risen,"возрастать,  подниматься"
74,run,ran,run,бежать
75,say,said,said,сказать
76,see,saw,seen,видеть
77,seek,sought,sought,искать
78,sell,sold,sold,продавать
79,send,sent,sent,посылать
80,set,set,set,устанавливать
81,shake,shook,shaken,трясти
82,shine,shone,shone,"светить,  сиять"
83,shoot,shot,shot,стрелять
84,show,showed,shown,показывать
85,shrink,shrank,shrunk,сжиматься
86,shut,shut,shut,"закрывать,  затворять"
87,sing,sang,sung,петь
88,sit,sat,sat,сидеть
89,sleep,slept,slept,спать
90,slide,slid,slid,скользить
91,smell,smelt,smelt,"пахнуть,  нюхать"
92,speak,spoke,spoken,говорить
93,spell,spelt (spelled),spelt (spelled),произносить или писать по буквам
94,spend,spent,spent,"тратить,  проводить время"
95,spill,spilt (spilled),spilt (spilled),разлить
96,spin,spun,spun,крутить
97,split,split,split,"разделять,  раскалывать"
98,spoil,spoilt (spoiled),spoilt (spoiled),портить
99,spread,spread,spread,"разворачивать,  распространять"
100,stand,stood,stood,стоять
101,steal,stole,stolen,воровать
102,sting,stung,stung,жалить
103,stink,stank,stunk,вонять
104,strike,struck,struck,"бастовать,  ударять"
105,swear,swore,sworn,"клясться,  ругаться"
106,sweep,swept,swept,подметать
107,swell,swelled,swollen (swelled),опухать
108,swim,swam,swum,плавать
109,take,took,taken,брать
110,teach,taught,taught,обучать
111,tear,tore,torn,рвать
112,tell,told,told,рассказывать
113,think,thought,thought,думать
114,throw,threw,thrown,бросать
115,understand,understood,understood,понимать
116,wake,woke,woken,будить
117,wear,wore,worn,носить (одежду)
118,win,won,won,побеждать
119,wind,wound,wound,"обматывать,  изгибаться"
120,write,wrote,written,писать
